SRR8926218_1.fastq	13-6929608_1.fastq
SRR8926219_1.fastq	13-6929751_1.fastq
SRR8926220_1.fastq	13-6929611_1.fastq
SRR8926221_1.fastq	13-6929627_1.fastq
SRR8926222_1.fastq	13-6929629_1.fastq
SRR8926223_1.fastq	13-6929632_1.fastq
SRR8926224_1.fastq	13-6929641_1.fastq
SRR8926225_1.fastq	13-6929662_1.fastq
SRR8926226_1.fastq	13-6929610_1.fastq
SRR8926227_1.fastq	13-6929669_1.fastq
SRR8926228_1.fastq	13-6929671_1.fastq
SRR8926229_1.fastq	13-6929673_1.fastq
SRR8926230_1.fastq	13-6929613_1.fastq
SRR8926231_1.fastq	13-6929612_1.fastq
SRR8926232_1.fastq	13-6929616_1.fastq
SRR8926233_1.fastq	13-6929614_1.fastq
SRR8926234_1.fastq	13-6929907_1.fastq
SRR8926235_1.fastq	13-6929908_1.fastq
SRR8926236_1.fastq	13-6929897_1.fastq
SRR8926237_1.fastq	13-6929899_1.fastq
SRR8926238_1.fastq	13-6929900_1.fastq
SRR8926239_1.fastq	13-6929901_1.fastq
SRR8926240_1.fastq	13-6929902_1.fastq
SRR8926241_1.fastq	13-6929904_1.fastq
SRR8926242_1.fastq	13-6929905_1.fastq
SRR8926243_1.fastq	13-6929906_1.fastq
SRR8926244_1.fastq	13-6929795_1.fastq
SRR8926245_1.fastq	13-6929672_1.fastq
SRR8926246_1.fastq	13-6929666_1.fastq
SRR8926247_1.fastq	13-6929660_1.fastq
SRR8926248_1.fastq	13-6929658_1.fastq
SRR8926249_1.fastq	13-6929675_1.fastq
SRR8926250_1.fastq	13-6929646_1.fastq
SRR8926251_1.fastq	13-6929645_1.fastq
SRR8926252_1.fastq	13-6929642_1.fastq
SRR8926253_1.fastq	13-6929640_1.fastq
SRR8926254_1.fastq	13-6929644_1.fastq
SRR8926255_1.fastq	13-6929643_1.fastq
SRR8926256_1.fastq	13-6929634_1.fastq
SRR8926257_1.fastq	13-6929630_1.fastq
SRR8926258_1.fastq	13-6929639_1.fastq
SRR8926259_1.fastq	13-6929638_1.fastq
SRR8926260_1.fastq	13-6929894_1.fastq
SRR8926261_1.fastq	13-6929893_1.fastq
